iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,16,3.5430479049682617,0.0,0.0,1.0,0.0
2,12304,3.154974615201354,0.3670092172299822,,,
3,24592,3.0892825182527304,0.34893155361836153,,,
4,36880,2.992081420703067,0.3215700724136291,,,
5,49168,2.936251623711238,0.2977923248593773,0.08333333333333333,0.0,0.9166666666666666
6,50000,2.7753755887552964,0.2816150525820927,,,
7,50000,2.641919181227837,0.270487132583591,,,
8,50000,2.5420720998517377,0.25327517669862576,,,
9,50000,2.432346232721961,0.23032502197540067,,,
10,50000,2.3821583607743246,0.21578093737401974,0.16666666666666666,0.0,0.8333333333333334
11,50000,2.322619818771084,0.21266449662581297,,,
12,50000,2.284713457320625,0.20072794066463023,,,
13,50000,2.2274039340385556,0.1939073933047575,,,
14,50000,2.1600570355884243,0.1811459179020817,,,
15,50000,2.149949595503862,0.17806296344612763,0.5833333333333334,0.0,0.4166666666666667
16,50000,2.128965211204622,0.17168431193180259,,,
17,50000,2.0851943625683362,0.1693885031289799,,,
18,50000,2.0594233256906613,0.16908789107578398,,,
19,50000,2.018665112316532,0.16479468848031592,,,
20,50000,1.997009301002444,0.16541017602924044,0.75,0.0,0.25
21,50000,2.0153982762185314,0.16664351615279666,,,
22,50000,2.016408491913091,0.15880899418803665,,,
23,50000,2.022552302491192,0.16293941227249353,,,
24,50000,2.0144699129649224,0.16043667961985217,,,
25,50000,2.013952404375113,0.1581122962961858,0.9166666666666666,0.0,0.08333333333333333
26,50000,2.0247879596892147,0.15831371696925842,,,
27,50000,2.0297498795348154,0.1578076403890945,,,
28,50000,2.0451584922366806,0.15692254973852127,,,
29,50000,2.013188047231999,0.16096955831263993,,,
30,50000,1.9983507202468365,0.16330116013453727,0.75,0.0,0.25
31,50000,2.006881368144984,0.16149413971189844,,,
32,50000,2.00404639204394,0.16126361803274492,,,
33,50000,2.0261411041059505,0.1616739555477867,,,
34,50000,2.0275808870410796,0.1564425393860315,,,
35,50000,2.022115047319903,0.15466448272698857,0.9166666666666666,0.0,0.08333333333333333
36,50000,2.0149758338317674,0.1565509394080129,,,
37,50000,2.0096273724461944,0.15645835733711339,,,
38,50000,1.9967463252333764,0.15889972623463877,,,
39,50000,1.9759404022776057,0.15684249165715952,,,
40,50000,1.9740946408881115,0.1557798401372705,1.0,0.0,0.0
