iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,16384,2.1211950071156025,0.2509568041168677,,,
2,32768,2.070447562728077,0.20133784235258645,,,
3,49152,2.013829632041355,0.172393533612194,,,
4,50000,2.0326980255477407,0.1484678923086801,,,
5,50000,2.051976903910521,0.14785409084444914,0.75,0.0,0.25
6,50000,2.126711601789721,0.1463921548260278,,,
7,50000,2.086522815322143,0.10385280409136194,,,
8,50000,2.103755939479979,0.10985846280596706,,,
9,50000,2.026849316115874,0.10708133369835067,,,
10,50000,2.0352232050956744,0.14994705455298996,0.75,0.0,0.25
11,50000,1.9980005022810914,0.1560795351775857,,,
12,50000,2.0106162254086835,0.15722908704957797,,,
13,50000,2.018633040896451,0.14183558223479298,,,
14,50000,2.054584306806669,0.14192693785402957,,,
15,50000,2.053455695223717,0.14284676488694018,0.8333333333333334,0.0,0.16666666666666666
16,50000,2.0492944290787554,0.14627353088613052,,,
17,50000,2.0125746091257746,0.1521591304911112,,,
18,50000,1.9973459787924372,0.1634392561939534,,,
19,50000,1.924329941694013,0.14162788729907208,,,
20,50000,1.8996257069932057,0.11692221452769432,0.8333333333333334,0.0,0.16666666666666666
21,50000,1.8824407257588054,0.10561691538672822,,,
22,50000,1.895989787334364,0.1210451630467642,,,
23,50000,1.8890802665648174,0.1253326108268368,,,
24,50000,1.8555041027282784,0.11047025528562311,,,
25,50000,1.8496306811038419,0.10493716280150171,0.8333333333333334,0.0,0.16666666666666666
26,50000,1.8065458439986928,0.1104550763376465,,,
27,50000,1.7915327797015406,0.10947332175125972,,,
28,50000,1.7706474993811985,0.12244359615751364,,,
29,50000,1.7445110700805118,0.11623743118267511,,,
30,50000,1.7840229430058243,0.11917782825669429,0.8333333333333334,0.0,0.16666666666666666
