iteration,n_transitions,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,3127,0.06781160086393356,,,
2,3861,1.0542900562286377,,,
3,7182,1.0371873378753662,,,
4,6949,1.048169493675232,,,
5,7065,1.0436476469039917,0.0,0.0,1.0
6,7100,1.0583375692367554,,,
7,7077,1.0478547811508179,,,
8,6962,1.0717804431915283,,,
9,7005,1.0523027181625366,,,
10,7050,1.0627782344818115,0.0,0.0,1.0
11,7108,1.0498855113983154,,,
12,6990,1.0459266901016235,,,
13,7149,1.0434964895248413,,,
14,7119,1.060366153717041,,,
15,7171,1.0601515769958496,0.0,0.0,1.0
16,7225,1.0475047826766968,,,
17,7173,1.0559709072113037,,,
18,7110,1.0498802661895752,,,
19,7044,1.0415617227554321,,,
20,7063,1.0521260499954224,0.0,0.0,1.0
21,7052,1.0542813539505005,,,
22,7211,1.0516878366470337,,,
23,7055,1.0563923120498657,,,
24,7111,1.051981806755066,,,
25,7137,1.051904559135437,0.0,0.0,1.0
26,7126,1.0372376441955566,,,
27,7226,1.0537152290344238,,,
28,7061,1.0563706159591675,,,
29,7070,1.037288784980774,,,
30,7203,1.0517109632492065,0.0,0.0,1.0
31,7186,1.0538429021835327,,,
32,7154,1.0455793142318726,,,
33,7196,1.0288567543029785,,,
34,7092,1.0457087755203247,,,
35,7161,1.064371943473816,0.0,0.0,1.0
36,7108,1.054095983505249,,,
37,7057,1.0606260299682617,,,
38,7260,1.0536078214645386,,,
39,7144,1.0665464401245117,,,
40,7221,1.0723819732666016,0.0,0.0,1.0
